Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.850187265917603,0.4772727272727273,0.2692307692307692,0.3442622950819672,0.7397379667116509
Balanced Logistic Regression,0.7509363295880149,0.31788079470198677,0.6153846153846154,0.4192139737991266,0.7422964462438146
Random Forest,0.947565543071161,0.8787878787878788,0.7435897435897436,0.8055555555555556,0.8916441745389113
Gradient Boosting,0.9400749063670412,0.8484848484848485,0.717948717948718,0.7777777777777778,0.8738191632928476
