Feature,Importance
Customer service calls,0.14886853508923037
Total day charge,0.13785980940592613
Total day minutes,0.13463452410414994
International plan_Yes,0.10050710185310233
Total eve charge,0.04461641121868655
Total eve minutes,0.04328399191918649
Total intl minutes,0.040223027162327354
Total intl charge,0.03626498636125997
Total intl calls,0.03199077690865584
Total night charge,0.03093834214895732
Total night minutes,0.030457075181636838
Number vmail messages,0.026305903495723877
Total night calls,0.02615066837788204
Total day calls,0.02519903260040914
Account length,0.023786941019383213
Total eve calls,0.022937893316893422
Voice mail plan_Yes,0.018885428948346477
Area code,0.006544674125392711
State_TX,0.005703899723912863
State_NJ,0.002639382448986696
State_MT,0.0025754971334272215
State_VA,0.0025220548068489936
State_MI,0.0024985486637164184
State_ME,0.0022855934834896115
State_DC,0.002234523166812827
State_MS,0.002089004963449155
State_OH,0.002048685684318642
State_AR,0.0017786329835265027
State_WV,0.00163387932061397
State_MA,0.0016194098354710743
State_NM,0.0016104808220464759
State_NY,0.0015522473153913997
State_FL,0.0014742181296105764
State_NC,0.0014586001455207734
State_IN,0.0014581929774376346
State_RI,0.0013977421756437825
State_GA,0.0013394461105044777
State_HI,0.00130621165305423
State_ND,0.0013033368011687865
State_NH,0.00128120213780662
State_WY,0.0012300054151215432
State_OK,0.0012289266853258787
State_NV,0.0011434053790686332
State_UT,0.0011418311537865241
State_SD,0.0011415344659047942
State_WA,0.0011294855480314032
State_CO,0.0011206513225326899
State_MD,0.0010628988858259146
State_MN,0.001054719453515126
State_NE,0.001054402741968711
State_CA,0.0010542250339577132
State_SC,0.0010390356644226651
State_WI,0.001012045904468628
State_AZ,0.0010100357478111663
State_IL,0.0009802311786414565
State_OR,0.0009795401025757867
State_AL,0.0009472170805314034
State_CT,0.0009121822534944895
State_LA,0.0008915633564175969
State_ID,0.0008487852023976199
State_DE,0.0008322583143133832
State_VT,0.0008178361478147898
State_KS,0.0007742365124333091
State_PA,0.0007668434284849708
State_TN,0.0006817232297994298
State_MO,0.0006594951188520653
State_IA,0.0006594226331693223
State_KY,0.0005595483194242412
