Threshold,Precision,Recall,F1
0.5,0.7073170731707317,0.7435897435897436,0.725
0.45,0.6555555555555556,0.7564102564102564,0.7023809523809523
0.4,0.5769230769230769,0.7692307692307693,0.6593406593406593
0.35,0.4806201550387597,0.7948717948717948,0.5990338164251208
0.3,0.40789473684210525,0.7948717948717948,0.5391304347826087
0.25,0.3403141361256545,0.8333333333333334,0.483271375464684
0.2,0.23076923076923078,0.8846153846153846,0.3660477453580902
